meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2392.79 2359.4 0.8899 4.01364 7.89232 1.02241e-06 -99.9726 3.70445 5454.22 2.06
2336 2307 0.889539 6.11012 15.3343 1.27846e-06 -90.5622 3.91446 13089.7 2.08088
2383.1 2346.9 0.888832 2.86341 4.28976 5.21611e-07 -73.7253 2.78091 15038.1 2.049
2356.12 2271.25 0.88818 2.51404 4.51204 4.7399e-07 -59.9356 2.59706 16832.1 2.0443
2425.92 2207.83 0.885614 4.11566 5.22999 5.96591e-07 -45.6407 1.76429 17236.9 2.02769
2535.08 2175.56 0.883438 7.08335 2.3787 1.41316e-07 -46.1215 1.13397 19566.4 1.99287
2583.19 2196.9 0.884869 2.46935 4.44989 7.57877e-09 -41.3722 0.874468 22679 1.99127
2651.64 2148.71 0.879876 4.9825 9.00095 4.62488e-09 -40.2324 0.668609 27203.4 1.93115
2706.39 2141.81 0.879765 3.97988 7.34412 7.01159e-09 -39.5372 0.519936 29089.8 1.96754
2776.18 2131.66 0.884078 29.3956 6.80448 5.68787e-07 -38.5217 0.38456 27240.2 1.95347
2869.49 2113.06 0.879003 24.0014 4.49236 3.46005e-07 -42.1275 0.223996 30143.3 1.93035
2883.89 2130.09 0.879234 1.31214 0.0320931 2.27813e-08 -39.9721 0.186184 27541.8 1.94065
2892.71 2150.39 0.870175 2.14825 0.0991965 7.89688e-08 -36.1624 0.14829 21150.3 1.89615
2978.37 2161.16 0.874159 1.23623 0.00609128 1.40662e-08 -43.9971 0.0938593 18720.3 1.88626
3043.91 2158.46 0.877329 0.886461 0.0872239 1.45155e-07 -53.1111 0.0635746 25579.6 1.87751
3134.34 2122.91 0.875561 0.878274 0.0656522 1.27238e-07 -66.2119 0.0526574 31239.5 1.89647
3159.6 2079.05 0.864097 0.610891 0.215815 1.24218e-07 -75.1128 0.0447991 31306.4 1.88317
3145.57 2060.3 0.868686 0.705015 0.210961 1.49659e-07 -75.869 0.0409836 35090.6 1.86211
3157.63 2029.99 0.869211 0.17881 0.0653485 5.13889e-08 -85.4473 0.0339294 33451.8 1.89598
3169.42 1989.95 0.866193 0.60871 0.282801 1.58271e-07 -92.5674 0.0287164 31338.4 1.88871
3152.53 1953.92 0.875591 0.086633 0.00996879 3.59873e-09 -94.3271 0.0255068 34584.2 1.90175
3139.35 1922.29 0.874515 0.124079 0.0110155 1.02889e-08 -96.6519 0.0235416 34699.6 1.89105
3125.78 1873.56 0.869672 0.00272228 0.0282731 2.70207e-09 -100.037 0.0180413 32354.8 1.89852
3127.71 1839.43 0.868947 0.00650274 0.00179872 1.96473e-07 -102.81 0.0197904 35022.3 1.90088
3113.52 1779.5 0.875709 0.021649 0.00309121 3.64581e-07 -105.798 0.0169356 35100.3 1.87467
3107.66 1729.25 0.888951 0.00601489 0.000580563 1.88164e-07 -106.671 0.0130139 31175.3 1.90586
3102.33 1677.02 0.881214 0.0156936 0.000372296 1.0616e-07 -110.808 0.0151117 33649.6 1.91688
3096.11 1614 0.885696 0.00206657 0.00158709 5.48638e-08 -114.102 0.0145758 31139.2 1.91156
3077.55 1560.44 0.879972 4.45602e-07 0.00326371 7.18622e-08 -119.042 0.0133227 30424.2 1.90455
3071.01 1514.39 0.889887 0.000273518 0.00371836 2.15857e-08 -122.457 0.012991 31464.5 1.87799
3061.41 1463.37 0.89974 0.00440134 0.0122482 4.48681e-08 -125.368 0.0110149 30323.1 1.89302
3032.4 1409.31 0.915027 0.0209586 0.0504697 4.38529e-08 -131.726 0.0133959 33091.1 1.89564
3018.43 1330.68 0.936881 0.0192331 0.0228828 1.80773e-08 -140.375 0.0127498 30966.6 1.88089
2992.7 1279.91 0.938121 0.0311072 0.114125 3.30739e-07 -148.406 0.0133465 32757.4 1.86815
2971.5 1242.75 0.929748 0.0558302 0.147306 3.47506e-07 -154.471 0.0149766 33981.5 1.88949
2903.28 1222.98 0.94058 0.0389887 0.0507941 1.0496e-07 -154.31 0.0148593 29765.3 1.88243
2897.28 1221.25 0.9455 0.073133 0.0713313 1.83836e-07 -145.42 0.0896704 24634 1.87097
2847.16 1179.04 0.95604 0.0203875 0.0146794 1.31061e-07 -150.702 0.0640164 23730 1.87248
2834.52 1173.88 0.968653 0.0511957 0.031334 2.57008e-07 -158.271 0.132511 18234.4 1.90447
2797.35 1165.97 0.961358 0.0183447 0.0347169 7.53247e-11 -166.695 0.117588 20178.7 1.87106
2760.97 1168.13 0.955581 0.0406638 0.026189 1.49048e-12 -163.752 0.0727151 23422.4 1.89253
2698.54 1171.39 0.974564 0.0413421 3.71427e-05 8.04032e-09 -166.487 0.0680817 27944.4 1.85164
2623.02 1161.63 0.977657 0.0451343 0.0148206 9.51784e-09 -167.262 0.0583832 27579.5 1.88952
2588.49 1165.77 0.986096 0.000567553 0.0715491 3.16451e-08 -165.108 0.0409736 24085.6 1.86705
2518.53 1148.43 1.00524 0.0164665 0.0516062 4.1726e-08 -166.834 0.0202339 23280.4 1.85947
2462.68 1168.69 1.02917 0.0194349 0.0858619 3.134e-08 -170.534 0.0182637 20418.5 1.86765
2454.15 1162.55 1.04524 0.0199526 0.0351586 3.05655e-07 -172.489 0.0863189 24392.3 1.86001
2386.33 1161.94 1.07101 0.01538 0.0255688 1.24634e-07 -178.619 0.0648692 22858.9 1.85882
2300.48 1155.94 1.09156 0.00650082 0.0927733 1.24756e-07 -179.07 0.0486318 26309.1 1.83926
2253.99 1148.21 1.11125 0.00134627 0.164156 1.8375e-07 173.655 0.0426877 25811 1.86201
2176.99 1121.72 1.11387 0.0115806 0.0003381 1.39226e-08 158.441 0.0292366 26382 1.84961
2133.17 1114.06 1.10553 0.0183766 0.00553689 3.41308e-08 148.546 0.0278667 30490.5 1.86399
2045.24 1138.82 1.13378 4.11929e-05 0.00810636 1.00735e-09 137.224 0.0130546 18888.4 1.85299
2032.6 1157.37 1.10654 0.000304463 0.0080155 1.85186e-08 135.692 0.0121606 24636.9 1.86884
1983.48 1216.87 1.11033 0.000233343 0.0220194 9.37268e-09 130.86 0.00832016 23100.2 1.8718
1951.53 1240.46 1.0908 0.00852185 0.030666 2.58869e-08 128.301 0.00855438 23723.5 1.85963
1911.27 1272.38 1.09622 0.00596616 0.0392746 4.42107e-08 122.937 0.0100836 28960.2 1.87655
1907.59 1305.37 1.09133 0.0153411 0.0305491 8.62027e-08 123.455 0.00779235 28495.3 1.88431
1882.54 1379.42 1.10158 0.0568159 0.0809525 3.28616e-07 125.244 0.00850964 28529.4 1.91034
1857.1 1413.92 1.08121 0.0311773 0.0441802 2.03295e-07 125.348 0.00897811 27199.3 1.89515
1812.95 1471.31 1.07726 0.0508605 0.122685 4.93003e-07 125.691 0.00849254 21538.1 1.88352
1772.31 1488.41 1.05054 0.00114228 0.0866935 2.14622e-07 125.333 0.00793665 21206.9 1.88363
