meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2354.61 2306.52 0.834164 5.2724 16.7304 2.80405e-07 -102.178 3.70894 3737.81 3.48679
2404.8 2282.83 0.834103 1.37858 2.8033 2.34147e-08 -81.9608 3.18983 12477.2 3.20618
2384.44 2263.18 0.832536 3.16043 7.03513 6.30107e-08 -76.8397 3.06195 16177.2 3.12585
2395.79 2262.8 0.830441 2.64892 5.00731 3.48625e-08 -36.4122 3.19143 16065.3 3.14412
2415.46 2251.56 0.824156 17.6318 7.35279 4.77729e-09 -33.1392 2.55994 21937.1 3.42863
2383.55 2280.62 0.816967 11.715 4.73357 4.45483e-09 -7.18697 2.23436 25030.1 3.15256
2529.03 2224.37 0.800551 6.97386 2.43897 1.8831e-08 -18.1686 1.74454 24717.7 3.18496
2528.86 2242.78 0.802793 1.47261 0.139987 1.40475e-07 -15.5256 1.41594 28315.3 3.0958
2560.42 2217.91 0.803432 2.33583 11.2602 1.48654e-07 -19.409 1.08951 27336.2 3.19271
2512.97 2223.98 0.803278 8.10489 0.128587 2.45003e-08 -9.90803 0.975009 26899 3.29753
2620.4 2187.26 0.800716 7.11824 0.0995632 2.87116e-08 -15.7657 0.7437 24131.2 3.05467
2684.44 2181.48 0.809196 5.79787 0.0787734 2.30721e-09 -24.1464 0.564071 28439.4 2.83206
2723.34 2187.78 0.813246 6.97867 0.117123 9.83457e-09 -27.4055 0.556099 21524.4 2.73173
2790.79 2200.16 0.816307 3.25742 0.0703061 3.16375e-09 -32.6443 0.408977 27011.2 2.76667
2940.13 2163.94 0.819458 2.4552 0.0118856 3.58974e-09 -49.1642 0.233723 27107.1 2.95437
3021.61 2141.05 0.809655 1.63888 3.87884e-05 1.83933e-09 -63.2542 0.173297 26819.4 2.66818
3095.04 2091.95 0.805806 0.444023 0.0431612 6.44272e-09 -72.5013 0.096601 25465.3 3.09133
3105.86 2064.46 0.80867 0.873178 0.132088 2.48159e-09 -74.1256 0.0484374 31414.6 2.81217
3124.12 2038.36 0.822803 0.198215 0.0593689 1.47877e-09 -83.4402 0.0326422 33318.5 2.71308
3133.93 1995.85 0.821225 0.174322 0.0775659 5.82065e-08 -92.0631 0.0302681 35206.1 2.14043
3126.68 1972.39 0.836871 0.00536804 0.242466 8.52731e-08 -91.0266 0.0224859 30036.7 2.43879
3127.27 1934.09 0.853924 0.0160481 0.0865844 1.24028e-08 -92.9039 0.0131704 27748 2.97915
3117.41 1885.44 0.841461 0.0331861 0.109101 1.15273e-08 -98.5899 0.0164885 36005.1 2.96682
3114.56 1846.81 0.858654 0.0909892 0.23309 1.66228e-08 -103.524 0.0160466 32139.6 2.98876
3116.13 1785.29 0.884935 0.0800991 0.0244428 1.74632e-07 -104.465 0.0130032 27865.5 2.97168
3113.11 1736.4 0.895852 0.0566772 0.0123493 8.61676e-08 -105.554 0.0122764 30974 3.58739
3109.43 1683.3 0.902451 0.0444689 0.00945618 8.23941e-08 -107.977 0.00938769 30842 3.40097
3090.1 1626.22 0.893969 0.00880582 0.113095 2.61834e-08 -112.376 0.0110757 32544.2 2.99359
3076.13 1567.73 0.894937 0.0164685 0.0799333 6.65035e-09 -117.328 0.00890139 32379.2 3.23967
3075.61 1516.57 0.911681 0.0157148 0.0455953 3.14546e-08 -120.437 0.00975084 32158.5 3.28197
3051.12 1472.86 0.906618 0.03282 0.0693572 1.37363e-08 -125.678 0.0103921 34497 3.42997
3029.67 1410.89 0.933232 0.0352188 0.0402389 1.47133e-08 -131.946 0.00997951 32183 3.36034
3009.5 1343.27 0.930443 0.0473847 0.030423 1.26628e-08 -141.617 0.0120034 32506.2 3.38145
