2343	2309	101.0999984741	-15.453
2374	2302	101.0999984741	-15.617
2406	2294	100.9000015259	-15.439
2439	2287	100.9000015259	-15.583
2474	2278	100.9000015259	-15.308
2511	2269	101	-15.547
2549	2260	101	-15.591
2587	2250	100.9000015259	-15.202
2626	2241	100.8000030518	-15.427
2666	2233	100.9000015259	-15.377
2706	2224	100.9000015259	-15.331
2745	2214	101	-15.68
2785	2205	100.9000015259	-15.378
2825	2196	100.9000015259	-17.224
2865	2187	100.9000015259	-22.344
2904	2178	100.9000015259	-30.201
2942	2167	101	-38.288
2980	2152	100.9000015259	-49.185
3014	2132	100.8000030518	-60.651
3044	2105	100.6999969482	-67.231
3066	2072	100.5999984741	-67.739
3082	2036	100.6999969482	-79.421
3092	1996	100.5999984741	-86.027
3096	1954	100.8000030518	-87.375
3095	1909	101.0999984741	-90.147
3092	1862	101.3000030518	-94.736
3086	1815	101.3000030518	-98.335
3077	1766	101.0999984741	-101.503
3067	1716	100.9000015259	-104.75
3054	1665	100.8000030518	-109.739
3040	1615	100.9000015259	-114.982
3021	1567	100.8000030518	-119.424
3000	1520	100.8000030518	-124.313
2975	1476	100.6999969482	-129.452
2946	1434	100.6999969482	-137.524
2915	1394	101	-146.83
2879	1358	101.1999969482	-156.837
2840	1327	101.0999984741	-158.456
2796	1303	101.0999984741	-157.698
2750	1282	101.0999984741	-158.865
2705	1266	101.0999984741	-170.4787
2663	1251	100.6999969482	179.7988
2620	1242	100.5	178.7048
2575	1239	100.5	178.136
2527	1240	100.8000030518	178.8881
2478	1242	101	178.1199
2428	1244	101	178.3148
2379	1248	100.8000030518	178.7195
2328	1251	100.6999969482	178.4035
2278	1254	100.9000015259	178.4654
2228	1255	101	178.9784
2181	1256	101	177.0183
2135	1255	101	165.176
2092	1257	100.9000015259	154.9137
2052	1263	101	145.0104
2015	1277	101.0999984741	139.7764
1979	1298	101	136.0092
1946	1326	100.8000030518	131.8144
1914	1358	100.9000015259	127.2095
1887	1393	100.9000015259	125.5459
1860	1430	101	125.7595
1834	1470	101	125.9167
1807	1512	100.9000015259	125.5879
1780	1554	100.9000015259	125.3127
1751	1594	100.9000015259	126.0072
1720	1631	100.9000015259	125.1174
1689	1666	101	125.8705
1658	1700	101	125.9039
1628	1734	100.9000015259	125.1874
1597	1768	101	125.1432
1568	1801	100.9000015259	119.8493
1540	1835	101	112.7285
1515	1868	101.0999984741	107.5638
1493	1901	101.0999984741	101.0246
1477	1936	101.0999984741	96.85294
1467	1972	101.0999984741	92.13567
1464	2010	101.0999984741	88.80914
1465	2047	101.0999984741	89.15185
1469	2083	101.0999984741	88.9934
1475	2117	101.0999984741	89.706033
1480	2149	101.1999969482	89.222007
1485	2182	101.0999984741	89.23059
1489	2216	101.0999984741	91.11766
1492	2250	101	96.72304
1493	2284	101	105.8126
1491	2317	101.0999984741	109.7951
1484	2348	101	110.1775
1473	2378	101.0999984741	109.9763
1460	2409	100.9000015259	110.2362
1445	2439	101	110.9806
1430	2471	101	109.7566
1415	2504	101	110.288
1399	2537	101	107.2215
1383	2569	101	102.5356
1371	2600	100.9000015259	95.88251
1359	2633	100.9000015259	91.29179
1350	2666	100.9000015259	86.44841
1346	2700	101	81.07874
1348	2734	101	75.8171
1355	2770	101	71.7229
1367	2807	101	66.8607
1382	2842	101.0999984741	64.179
1401	2879	101	60.2948
1420	2916	101	56.1576
1442	2953	101.0999984741	50.8594
1468	2987	101	48.6939
1496	3020	101.0999984741	47.0659
1526	3053	101.1999969482	47.424
1555	3083	101	47.1683
1584	3112	100.8000030518	44.5929
1612	3140	100.8000030518	44.2707
1640	3169	101	44.4665
1669	3196	101.0999984741	44.0336
1700	3224	100.9000015259	43.8708
1731	3251	101	44.1355
1762	3278	101.1999969482	44.0813
1794	3306	101.0999984741	44.0408
1825	3335	101	44.1317
1856	3366	101	43.5299
1887	3396	101.0999984741	43.2535
1917	3426	101.4000015259	43.5994
1949	3457	101.3000030518	45.3771
1980	3487	100.9000015259	45.2708
2005	3511	100.8000030518	43.6911
2041	3542	100.9000015259	40.6166
2078	3578	100.9000015259	36.2987
2123	3616	100.8000030518	29.4383
2166	3651	100.9000015259	21.9233
2215	3688	101.0999984741	18.6492
2269	3723	101.1999969482	17.8039
2319	3751	101.1999969482	14.8155
2374	3777	101.0999984741	15.5189
2430	3800	100.9000015259	14.3507
2488	3822	100.6999969482	15.2639
2550	3841	100.6999969482	15.5239
2612	3856	100.6999969482	13.5362
