meanPX222 meanPY  meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2411.25 2383.07 0.844216 4.65003 7.4396 1.05194e-09 -110.863 4.69191 7839.03 3.08244
2391.13 2376.58 0.844102 2.27677 3.16394 5.19783e-09 -102.795 4.60633 13348 2.97212
2428.61 2277.92 0.841262 1.63409 2.64366 3.02247e-09 -82.3898 4.95779 14427.8 2.77492
2436.95 2277.32 0.84195 4.57567 6.17993 2.6755e-08 -38.7341 3.79954 17591.6 2.70624
2559.64 2132.13 0.83925 5.58771 6.30615 6.71153e-08 -18.5901 3.66694 18199.1 2.74465
2627.83 2054.17 0.838421 0.26971 15.1801 4.18627e-08 6.23132 3.7069 22301.1 2.51961
2719.45 2068.29 0.839144 0.609821 9.80631 1.59172e-09 7.38503 2.56187 25543.4 2.40742
2765.55 2028.63 0.840212 0.604079 7.33664 5.41188e-09 13.5972 2.51776 29291 2.44683
2887.42 2094.65 0.844429 3.03174 12.4 4.81932e-08 11.0816 1.53277 25990.6 2.32139
2921.95 2080.87 0.853862 2.88992 11.6518 4.57038e-09 1.96283 1.1203 23284.2 2.38311
2980.07 2114.29 0.859155 3.54341 10.2332 2.90692e-08 0.537589 0.829142 27216.9 2.39615
2986.66 2147.03 0.869439 3.52227 0.727368 1.46959e-10 -8.54407 0.413191 23766.5 2.33804
3058.3 2203.04 0.862804 6.54645 0.812206 5.61271e-09 -2.94678 0.506763 25262.7 2.66046
3043.59 2216.57 0.890216 3.93553 0.630243 4.51699e-09 -14.0212 0.304462 23959 2.4971
3099.75 2214.33 0.888093 9.21899 1.65709 1.92196e-08 -30.6108 0.274582 28508.2 2.5815
3133.93 2203.72 0.901364 0.900872 0.0701822 1.87549e-08 -44.5834 0.158069 29608.1 2.59381
3200.64 2170.18 0.901162 1.12063 0.135056 1.47345e-08 -53.7315 0.126486 32590.6 2.73666
3164.74 2152.89 0.901105 1.32844 0.148631 1.95363e-08 -53.518 0.099384 33021.9 2.9981
3136.26 2132.83 0.915618 1.11284 0.0972847 3.69255e-09 -63.147 0.0624912 26483.8 2.64382
3198.24 2085.07 0.917475 1.68206 0.187757 1.33614e-08 -74.1449 0.07383 36439.9 2.58624
3184.47 2049.46 0.915311 1.12811 0.0630487 2.65848e-08 -75.9256 0.0488473 33623 2.50051
3183.43 2014.78 0.924781 0.434054 0.125923 1.06049e-07 -79.366 0.0415329 34513.5 2.76816
3177.98 1954.45 0.94406 0.83495 0.175453 2.14064e-07 -84.2004 0.0403693 28727.9 2.90744
3197.56 1912.11 0.954678 0.664289 0.143388 2.9687e-07 -89.1749 0.036559 32688.9 2.36331
3165.5 1835.2 0.968664 0.991452 0.0215377 2.28782e-07 -94.9086 0.0342082 25475.5 2.24698
3169.15 1772.72 0.983812 1.80364 0.0137213 4.305e-07 -98.9101 0.0328864 26405 2.2973
3159.8 1709.27 0.994672 0.524546 3.77281e-07 1.01209e-07 -103.542 0.0200467 27675.7 2.26152
3129.15 1638.36 0.995944 0.796351 0.00167905 1.35616e-07 -111.096 0.0147207 20857.3 2.29816
3116.37 1573.4 0.992199 0.036263 0.0442287 1.94408e-08 -114.697 0.0133644 24848.1 2.38073
3099.24 1526.13 0.995623 0.0440493 0.0430741 2.24729e-08 -118.595 0.0129984 30572.1 2.30923
3080.03 1471.61 0.995096 0.0287115 0.0018245 1.3976e-08 -122.415 0.0137259 33618 2.21345
3057.63 1408.03 1.01031 0.0280771 3.04857e-05 1.3332e-09 -128.357 0.0115754 30256.9 2.43681
3034.47 1330.03 1.01973 0.0529603 0.000252142 1.29269e-09 -138.924 0.0128229 33522.2 2.60208
3010.8 1272.27 1.02124 0.0184588 0.000181605 5.43957e-09 -145.722 0.0142342 33971.6 2.51604
2981.13 1224.94 1.02317 0.0293338 0.00153076 1.55325e-08 -153.619 0.0153414 35973 2.79297
2920.17 1193.46 1.03227 0.0286258 0.000624808 3.04047e-09 -151.977 0.014547 31226.3 2.45635
2910.46 1197.58 1.03871 0.00026067 0.00396281 6.09081e-09 -144.31 0.080734 23501.8 2.68388
2843.7 1153.31 1.06624 0.000862734 0.000495353 2.35025e-08 -155.903 0.0484084 21791.9 2.45686
2844.26 1145.96 1.07349 0.0112587 0.0385407 2.54483e-10 -157.287 0.103846 24388.6 2.38803
2809.94 1129.98 1.07515 0.0168524 0.0794758 2.40786e-08 -163.341 0.0900135 27418 2.45598
2756.42 1139.66 1.08853 0.0441426 0.108732 3.28329e-08 -168.321 0.0672795 24217.6 2.36438
2684.14 1144.45 1.12291 0.0660169 0.238374 3.93898e-08 -172.157 0.0450252 26254.8 2.34872
2606.39 1148.84 1.11491 0.023038 0.130426 1.03901e-08 -173.992 0.0418987 29974.1 2.25037
2560.79 1183.27 1.14416 0.039403 0.407429 1.99695e-08 -176.309 0.0314999 28883.1 2.28693
2473.77 1166.35 1.18318 0.119311 1.06919 2.99094e-09 -175.63 0.0295483 30716.6 2.37185
2428.01 1174.75 1.19647 0.00807023 0.00479296 1.38143e-07 -174.085 0.028995 33387.8 2.26657
2422.53 1182.78 1.20462 0.0076689 0.00911401 6.32839e-08 -178.07 0.0665817 25346.7 2.50832
2351.36 1168.55 1.22441 0.0220166 0.00785033 2.22357e-07 -176.074 0.0534689 26946.3 2.50518
2251.43 1164.66 1.24673 0.0154564 0.016646 1.05594e-07 -179.419 0.0309018 23066.2 2.68501
2215.91 1144.64 1.25338 0.000849255 0.00214028 9.09689e-09 177.635 0.0290223 28654.3 2.57198
2154.65 1103.48 1.22847 0.00730624 0.00030136 1.39277e-08 164.383 0.0306731 26797.9 2.70223
2098.81 1093.6 1.22048 0.00149497 0.00484109 8.2507e-08 153.237 0.025205 23479.2 2.74561
2034.51 1128.07 1.21247 0.00686158 0.0110513 1.5355e-07 138.72 0.0215221 19851.3 2.78649
2027.24 1155.19 1.18267 0.0131101 0.00686791 2.77821e-07 134.576 0.0134672 17070.5 2.91606
1969.62 1221.62 1.20434 0.0146281 0.00237345 3.71332e-07 129.177 0.0120699 27761 2.69646
1959.13 1250.85 1.17297 0.0124316 0.000725163 2.54356e-07 125.696 0.0136904 23711.6 2.62841
1915.62 1292.81 1.18951 0.0397721 0.00160123 3.89585e-07 119.953 0.0164139 30855.3 2.67456
1914.68 1315.13 1.16205 0.0964885 0.0157176 1.2318e-07 121.909 0.014304 24871.1 2.82992
1881.55 1403.75 1.19631 0.126607 0.0566536 2.66671e-07 123.845 0.0135195 28866.8 2.55198
1862.24 1447.25 1.1764 0.142272 0.0670838 5.08405e-07 125.493 0.0120876 26684.9 2.6768
1816.91 1524.46 1.19734 0.000430777 0.0566697 7.40861e-07 125.638 0.0104044 27547.2 2.53462
1768.62 1548.28 1.18491 0.00459468 0.190799 1.57638e-06 126.547 0.010605 31110.8 2.50057
1704.1 1580.48 1.18816 0.00317202 0.141468 7.94955e-07 129.238 0.0101634 29261.5 2.42602
1687.33 1622.97 1.1866 0.00852996 0.429005 2.12536e-06 127.92 0.0125188 28404.4 2.40977
1635.32 1651.25 1.16903 0.0233835 0.372183 1.79444e-06 129.131 0.0146408 22773 2.43361
1598.95 1682.85 1.1716 0.0248723 0.601095 2.4115e-06 129.551 0.0158922 27464.7 2.51327
