meanPX222 meanPY  meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2340.47 2372.68 0.852948 1.36304 3.61483 2.89033e-07 -87.9542 4.44314 6665.12 2.81162
2326.73 2341.78 0.851016 0.973112 2.48131 1.81031e-07 -88.4168 4.2091 10595.7 2.72054
2380.21 2279.51 0.848045 1.10543 2.13007 1.40308e-07 -70.6068 4.50352 14197.2 2.70855
2450.38 2198.39 0.84643 1.03684 0.277763 1.88745e-09 -29.309 4.67707 16821.3 2.51691
2499 2015.5 0.842208 0.00309766 5.74775 3.56284e-10 -19.6483 4.7879 16509.6 2.63576
2628.96 2030.38 0.839077 0.226039 14.5028 6.87372e-09 1.46305 2.98685 21136.2 2.60612
2651.83 1948.41 0.835604 0.41938 17.9747 1.85787e-08 8.39221 3.14093 27688.1 2.69146
2672.06 1920.07 0.840817 0.739237 22.1413 9.39126e-09 8.40946 2.76416 26818.6 2.63575
2874.61 2056.95 0.840324 21.3707 5.00131 8.1236e-08 -2.77728 1.42102 27746 2.52499
2838.27 2063.39 0.848604 4.90202 1.76366 3.16206e-08 -5.51329 1.02218 22926.1 2.60269
2927.09 2141 0.861082 6.00672 1.38162 4.89142e-08 -1.31615 0.574077 21499.1 2.78823
2927.63 2148.82 0.862646 7.72247 2.10875 2.43303e-08 -10.5623 0.418726 28843.1 2.66526
2952.34 2170.4 0.870392 3.02859 0.72707 7.53897e-09 -9.07106 0.319202 23891.2 2.56723
2966.8 2201.06 0.886165 10.0978 2.33016 1.02912e-08 -13.964 0.170955 24305.2 2.62476
3005.47 2211.62 0.892803 0.631557 0.0578021 6.95797e-08 -29.3368 0.117166 28221.6 2.70707
3084.49 2214.33 0.900641 0.409684 0.0867954 5.58143e-08 -42.3552 0.0701281 29295.9 2.70385
3112.7 2185.18 0.892602 0.575624 0.188738 1.21134e-07 -51.3482 0.0360606 29419.3 2.529
3074.43 2170.45 0.895143 0.79894 0.0217961 2.71324e-07 -49.9162 0.0300688 32600.1 2.3834
3093.37 2145.31 0.902489 1.43792 0.0199927 3.28595e-07 -60.521 0.024025 34260.7 2.23502
3117.69 2099.4 0.907845 1.2211 0.0157062 2.92295e-07 -72.446 0.0218404 34098.2 1.99538
3115.82 2064.04 0.918364 1.15647 0.0216591 2.17484e-07 -72.7694 0.0214413 36050.2 2.12624
3126.96 2023.06 0.917054 1.18495 0.0170026 3.22098e-07 -76.1617 0.019033 35053.8 2.25737
3129.19 1968.22 0.921705 1.39114 0.0163672 2.66666e-07 -82.2476 0.0181995 31740.4 2.16835
3138.12 1922.6 0.930727 2.23796 0.0167515 5.90455e-07 -87.3509 0.0186997 32453.3 2.32671
3140.57 1850.5 0.947042 1.1147 0.00068774 3.8431e-07 -91.3537 0.0191167 30191 2.58647
3114.08 1798.74 0.949602 1.71083 0.00177528 4.01362e-07 -94.7353 0.0152724 27223.4 2.97123
3108.56 1733.78 0.957565 0.270638 0.000900515 6.73732e-08 -98.9252 0.0137782 27179.2 2.70887
3101.06 1658.05 0.967627 0.577805 0.000302357 2.66302e-09 -105.173 0.00939396 21632.2 2.49976
3094.36 1586.81 0.979053 1.39256 0.00181578 5.20244e-08 -110.116 0.0090701 24721.7 2.51788
3084 1536.24 0.982063 0.861141 0.000190941 6.67416e-09 -113.8 0.00949632 27109.7 2.53093
3073.25 1480.55 0.979506 0.000116607 0.0293971 9.41553e-08 -119.227 0.0117652 34188.3 2.85415
3053.35 1421.8 0.988747 0.00180389 0.0203091 4.93836e-08 -125.631 0.0128365 34326.7 2.73951
3038.48 1344.37 0.998254 0.00448008 0.0365438 3.60303e-08 -135.007 0.0132569 36688 2.53463
3015.54 1282.31 1.00203 0.0172122 0.0352408 5.76423e-09 -143.06 0.0136802 34607.6 2.61388
2986.33 1226.29 1.01119 0.0166537 0.00467049 1.46327e-07 -151.621 0.0154464 30244.5 2.69725
2927.96 1201.31 1.01683 0.0244873 0.00291132 1.98435e-07 -149.668 0.0171614 32594 2.90274
2919.05 1198.4 1.024 0.0086788 0.00201927 1.49448e-07 -147.409 0.0872547 28210.7 2.64786
2866.62 1147.93 1.04562 0.00479323 0.00476637 8.22055e-08 -149.012 0.0677906 24272.3 2.39024
2852.46 1150.16 1.0523 0.000293496 0.0118781 3.78184e-07 -154.781 0.0995098 22887.5 2.4548
2819.51 1128.91 1.05816 0.00167206 0.029103 2.51308e-07 -163.332 0.0814374 25317.1 2.49726
2775.31 1140.28 1.0604 0.00128164 0.0781573 5.09636e-07 -166.488 0.0772232 24894.9 2.56956
2710.45 1132.04 1.09052 0.0114588 0.120782 4.5396e-07 -165.697 0.0781972 30620.3 2.39106
2625.77 1126.81 1.09608 0.293938 0.257866 2.12971e-07 -168.834 0.0585202 28976.4 2.6367
2577.42 1166.95 1.12376 0.0856176 0.173448 8.05463e-08 -173.926 0.0464597 25510.7 2.55311
2510.28 1132.46 1.14685 0.404993 0.639362 3.14827e-07 -171.084 0.042512 29389.8 2.6199
2447.44 1180.51 1.17878 0.226631 0.504874 1.34115e-07 -176.24 0.041549 27456.2 2.64047
2451.43 1151.17 1.18091 0.180827 0.327798 1.39273e-07 -178.404 0.0962181 27862.8 2.31727
2372.5 1162.16 1.21284 0.0508679 0.140704 1.11393e-08 179.059 0.0762546 25406.6 2.14325
2286.05 1137.28 1.21933 0.0198318 0.17342 2.64145e-09 179.537 0.0565151 24371.8 2.1646
2231.06 1134.51 1.24742 0.0246718 0.285222 1.47684e-09 173.615 0.0613265 26018 2.07602
2158.07 1109.08 1.22656 0.0730651 0.0212758 4.25853e-10 159.97 0.0378404 24866 2.21079
2108.92 1105.76 1.21703 0.0536556 0.00145209 1.4032e-09 146.856 0.0274319 23924.5 2.27513
2043.1 1133.23 1.20934 0.0924457 0.00301028 7.57063e-08 136.93 0.0158802 22642.6 2.42936
2027.72 1156.32 1.20181 0.0825949 0.000321301 1.77129e-07 133.584 0.0132185 26151 2.53528
1976.79 1233.16 1.20351 0.0447396 0.000678388 1.3781e-07 129.408 0.0182565 29485.5 2.50266
1960.7 1258.45 1.18045 0.0495174 1.07452e-05 2.83761e-07 125.75 0.0114645 24137.2 2.44407
1918.53 1301.42 1.20268 0.025833 2.27365e-05 1.50707e-07 121.252 0.0126632 31939.8 2.45847
1919.97 1335.63 1.1968 0.00329203 0.229266 4.72476e-08 119.879 0.0118106 32233.6 2.41451
1888.61 1420.76 1.21759 0.0131871 0.287476 6.1839e-08 122.954 0.0139897 30346.1 2.48961
1864.32 1458.11 1.19813 0.0135809 0.232742 1.10229e-07 124.193 0.011833 25801.4 2.72636
1821.66 1535.55 1.20925 0.0286763 0.162273 1.80765e-07 123.555 0.0123706 26328.6 2.5835
1769.24 1564.64 1.20977 0.0081551 0.0921921 3.47337e-08 124.062 0.0127863 30995.1 2.47746
1707.57 1592.65 1.20155 0.00565315 0.100104 5.15591e-08 126.525 0.0114433 28022.3 2.41981
