meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2275.87 2453.56 -0.136983 1.67062 5.01115 1.17373e-06 -123.059 10.0267 11160.9 2.28582
2174.09 2510.43 -0.136173 0.274841 1.81781 4.88606e-07 -114.651 7.91757 11571.1 2.38655
2058.18 2717.63 -0.139262 0.00115171 0.226029 6.00377e-07 -104.053 7.29858 8301.93 2.62573
2100.11 2845.42 -0.138009 16.9532 3.71303 8.38856e-07 178.488 6.55618 16330.6 2.58914
2155.07 3015.87 -0.139661 5.36565 7.96716 1.73491e-08 157.119 5.47432 17349.8 2.51071
2240.92 3150.94 -0.146141 1.92973 21.1063 7.91525e-08 146.189 4.51104 21047.9 2.47113
2300.16 3198.67 -0.1525 2.23959 27.5285 1.25304e-06 146.725 3.48439 22235 2.44977
2374.73 3243.44 -0.158485 4.53369 42.5811 1.97482e-06 138.456 3.52603 27775.6 2.45388
2448.67 3205.12 -0.159964 5.16794 35.3238 1.6158e-06 135.358 2.91363 28454 2.4459
2526.56 3281.15 -0.158459 6.54178 38.1621 1.33434e-06 126.02 3.01433 28043.2 2.61198
2549.61 3271.62 -0.164362 33.6242 15.3103 7.76755e-07 128.093 2.62889 30271.1 2.49508
2666.4 3336.68 -0.16797 29.9023 13.9335 8.96204e-07 121.197 2.58075 32211.6 2.45604
2702.03 3557.18 -0.169576 32.5845 10.2899 9.34035e-07 110.226 3.46178 28853.6 2.58656
2743.76 3447.82 -0.169882 35.1222 15.0706 8.54438e-07 106.722 2.92781 28734.5 2.39346
2837.07 3636.89 -0.173749 18.3837 6.04912 5.6054e-07 88.8671 3.42961 32383.6 2.37254
2845.1 3727.67 -0.1762 21.9156 5.65543 9.66547e-07 96.6375 3.58564 32206.8 2.30338
2874.11 3781.54 -0.180682 20.9837 4.89816 8.62877e-07 94.4807 3.49454 31973.4 2.09082
2865.74 3837.41 -0.179646 23.8262 4.57599 9.25715e-07 107.473 3.22419 34929.2 2.0918
2873.72 3896.78 -0.187977 0.428081 2.14556 2.2433e-06 109.221 2.98806 33847.6 2.12504
2852.76 3889.47 -0.19063 0.628486 3.30855 3.97873e-06 105.855 2.8523 35190.9 2.109
2961.72 4026.37 -0.213098 0.759992 0.840793 1.41761e-06 102.829 2.78272 21697.5 2.10272
2982.92 4048.62 -0.219036 1.23542 0.93285 1.6742e-06 102.015 2.63763 30848.3 2.19928
2981.12 4048.9 -0.230621 100.471 2.98916 2.29292e-07 99.897 2.43416 29380.4 2.25734
3016.62 4064.03 -0.241286 104.052 2.91218 1.90715e-07 93.068 2.65708 30257.1 2.34937
3037.72 4072.15 -0.241334 109.069 3.02177 2.67432e-07 85.9698 2.99216 34182.7 2.39952
2979.23 4032.88 -0.250324 37.9644 1.04941 6.04881e-08 91.0787 2.36977 31433.9 2.41843
2941.64 4009.17 -0.24779 34.1774 1.10099 4.98396e-08 91.1715 2.32731 33725.4 2.5416
2955 4009.71 -0.253382 11.4746 0.350832 1.09138e-08 86.6439 2.5618 27477 2.53719
2919.44 3979.43 -0.260031 71.8402 2.34 4.78807e-07 84.1436 2.21516 30048.8 2.44053
3003.83 4032.75 -0.261348 3.04364 0.663375 2.86033e-13 74.7048 3.36054 23314.1 2.55453
2933.08 3971.83 -0.268182 3.09865 1.36916 7.99697e-10 75.6319 2.48143 20176.2 2.52007
2935.5 3987.17 -0.268915 4.33169 1.84468 1.21373e-08 76.0704 3.25211 25756.7 2.63432
2942.83 3953.89 -0.269447 22.0925 3.15797 3.84476e-08 64.5704 2.31163 23083.6 2.71737
2947.22 3966.15 -0.270816 36.1046 4.15368 3.49884e-08 57.8053 2.88077 25909.7 2.63477
3039.91 4044.41 -0.260064 10.4245 0.871315 3.77863e-09 13.0891 5.01537 26214.6 2.6333
2876.99 3861.91 -0.254483 38.4164 6.18667 3.40803e-09 49.6325 1.93111 21514.8 2.63257
2771.69 3774.51 -0.253354 5.21564 1.01417 1.65914e-10 47.9824 1.2566 20953.2 2.66953
2679.49 3673.78 -0.26273 21.4415 4.6833 3.50471e-08 48.707 1.35087 19537.9 2.56258
2613.76 3681.56 -0.250418 14.4445 2.72909 3.17043e-08 53.003 1.00143 18981.5 2.60776
2499.71 3656.06 -0.257823 17.9208 3.40716 7.92878e-09 47.1013 0.848916 22123.6 2.56794
2392.88 3672.47 -0.266427 14.6053 2.24683 2.69975e-09 50.5119 1.10155 22751.7 2.50031
2448.73 3643.09 -0.260183 11.0135 1.93093 2.35833e-09 61.4507 0.727351 23229.4 2.5713
2459.17 3593.83 -0.25297 7.22035 1.44067 1.39717e-11 59.0981 0.431572 26182.7 2.4957
2470.54 3584.33 -0.253544 7.59927 1.52538 1.65414e-10 64.2544 0.33819 25873.4 2.5483
2496.18 3547.02 -0.247591 10.6198 2.19662 2.68376e-08 64.8967 0.158516 28629.2 2.60129
2495.88 3534.03 -0.247436 17.9973 3.00374 1.08474e-07 65.2439 0.12086 28791.7 2.58178
2498.66 3535.54 -0.245945 0.0158833 5.47644 2.05054e-07 64.0062 0.183079 30930.8 2.56024
2502.11 3530.59 -0.242078 0.023863 6.11675 2.44253e-07 64.5448 0.178524 27244.9 2.47854
2505.52 3524.37 -0.236678 0.00225932 3.16324 4.91271e-08 66.3269 0.211548 23866.7 2.51564
2523.39 3531.43 -0.241067 0.00824605 1.78644 2.98801e-08 58.1767 0.270805 27366.9 2.51948
2572.45 3550.91 -0.233594 44.8498 25.916 2.04223e-06 51.0925 0.40048 25809 2.57515
2769.47 3710.85 -0.214194 13.5246 8.07615 1.86217e-08 54.05 0.940421 16225.7 2.65117
2635.81 3599.7 -0.221631 67.984 38.569 4.14233e-06 33.5297 0.668482 27329.4 2.64862
2946.21 3826.15 -0.2335 17.272 9.89948 1.97745e-06 62.6889 1.19746 17722.2 2.5922
3169.99 3979.34 -0.243408 6.60559 3.91298 1.6226e-06 80.7734 1.2714 21213.2 2.70765
3456.63 4178.06 -0.264929 1.95294 1.42597 1.71246e-06 106.12 0.999054 20542.3 2.6054
3676.26 4317.99 -0.285736 0.346618 0.51911 2.4218e-06 114.426 0.651643 22503.4 2.66713
3720.14 4335.32 -0.300038 0.0431061 0.138963 1.48742e-06 114 0.50901 29516.5 2.61976
3853.85 4395.81 -0.34062 0.0463773 0.0623222 2.25919e-06 116.113 0.217206 25995.5 2.59825
3889.11 4402.93 -0.341318 0.324358 0.12695 4.53813e-06 118.218 0.181057 29008.8 2.635
3539.58 4137.46 -0.332967 0.689189 2.14266 4.28877e-06 102.005 0.549826 21847.9 2.60804
3815.93 4304.42 -0.343741 0.241017 1.23561 8.42557e-06 114.851 0.300802 29453.2 2.68314
3913.99 4353.56 -0.339473 0.448106 0.253326 2.98889e-06 119.656 0.217969 27950.7 2.6287
3663.99 4173.95 -0.324411 0.050229 1.61802 3.14125e-06 110.507 0.458129 23359.1 2.53886
3704.95 4200.2 -0.301259 0.0922858 2.19746 5.65295e-06 119.683 0.587264 22241.6 2.55699
3596.8 4141.1 -0.254898 0.478668 1.85004 3.00607e-06 122.305 0.923207 22144.1 2.66481
3358.74 3978.82 -0.230349 2.12138 2.9682 1.90437e-06 115.271 1.13066 15411.4 2.60955
3466.65 4065.23 -0.20285 1.37935 2.57453 2.25852e-06 129.019 1.22256 27122.2 2.7118
3452.77 4016.01 -0.244576 0.425606 0.839934 7.77902e-07 123.217 1.10024 20051.2 2.63094
3796.86 4247.26 -0.257575 0.0463099 0.421509 1.54899e-06 140.025 0.682037 16252.5 2.6646
3858.68 4268.85 -0.282333 0.37897 0.574836 3.44486e-06 138.15 0.626889 19159.1 2.62148
4053.67 4336.63 -0.339113 1.21614 0.0850681 3.24342e-06 134.583 0.340903 17908 2.5958
4099.24 4342.96 -0.33516 0.72253 0.0249608 1.4978e-06 132.697 0.283505 16509.7 2.51094
4231.44 4348.82 -0.394404 2.31696 0.0787618 2.15852e-06 125.101 0.14607 18722 2.55324
4234.06 4325.57 -0.400063 1.83467 0.087288 1.79593e-06 121.112 0.159259 28252.2 2.50041
4278.98 4325.19 -0.399784 3.55228 0.205237 3.3759e-06 120.832 0.103815 30656.6 2.58979
4264.65 4288.49 -0.396295 2.99752 0.340076 2.33009e-06 120.638 0.137511 32926.1 2.6457
4294.77 4285.48 -0.394638 7.12342 0.809524 4.68341e-06 119.895 0.0902354 31557.7 2.56747
4311.53 4290.07 -0.396655 1.58183 0.188748 8.67121e-07 117.976 0.0662033 29338.5 2.60963
4321.24 4275.58 -0.39427 1.80236 0.188117 9.67431e-07 119.619 0.0649621 29832.9 2.58628
4331.1 4270.69 -0.388518 2.28068 0.272691 1.46394e-06 120.48 0.0469894 30717.9 2.51011
4332.16 4263.04 -0.386891 2.85399 0.363675 1.22057e-06 128.518 0.0532171 29614.3 2.50937
4324.25 4244.38 -0.400685 3.53346 0.56759 1.80455e-06 138.389 0.0593347 34241.6 2.61023
4339.05 4235.53 -0.396997 7.1984 1.20828 3.54909e-06 142.568 0.0514082 29256.8 2.46344
4340.93 4233.61 -0.403569 71.9819 19.4324 1.26601e-08 145.343 0.0612804 31241.8 2.49707
4354.4 4219.57 -0.407987 101.304 26.7139 6.26862e-08 144.263 0.0645205 28920.7 2.43858
4366.78 4216.32 -0.408517 107.071 28.1814 5.00706e-08 143.49 0.0552964 30265 2.35328
4375.5 4200.99 -0.42344 145.427 36.7991 7.90869e-08 144.39 0.0715847 25216.3 2.49389
4368.78 4191.42 -0.415396 404.954 100.816 1.73899e-07 141.246 0.0620267 28365.5 2.44315
4346.56 4207.99 -0.399083 105.975 28.3915 1.85506e-08 141.238 0.0921086 21550.4 2.44864
4284.43 4222.13 -0.387515 57.3291 16.8315 2.13983e-09 134.929 0.126091 19134.7 2.39138
4174.03 4239.65 -0.354885 120.489 40.4255 2.19381e-08 127.766 0.176416 15436.5 2.2992
4033.38 4335.17 -0.29601 149.477 70.4215 4.22646e-07 115.186 0.131993 9876.14 2.23155
3911.51 4311.85 -0.281259 88.0108 44.8283 2.88563e-07 112.706 0.229217 15140.8 2.33564
3847 4291.27 -0.270694 93.7049 49.1721 4.4008e-07 106.792 0.272756 19229.9 2.40574
3683.34 4214.26 -0.285319 113.729 64.6228 6.99293e-07 114.674 0.534298 18843.6 2.32872
3570.49 4160.74 -0.294047 69.4591 43.8039 4.55993e-07 106.165 0.684998 21833.3 2.26231
3578.64 4207.82 -0.272546 41.4765 29.6987 3.44414e-07 108.808 0.877055 20309.2 2.38129
3452.24 4167.54 -0.248284 50.8586 40.9076 8.84526e-07 112.967 1.26705 11512.7 2.45766
3537.35 4282.56 -0.17367 14.0668 12.4178 3.94935e-07 142.095 1.05692 4454.96 2.51767
3714.06 4374.38 -0.123178 12.6823 9.59785 4.96832e-07 147.082 0.475743 6452.98 2.46763
3870.93 4442.9 -0.101949 44.4828 34.5862 7.86929e-07 149.694 0.133659 10496.4 2.50943
3906.62 4455.75 -0.102629 6.58092 5.02894 2.55007e-07 147.065 0.060588 21451.7 2.50039
3917.44 4453.73 -0.108808 7.58388 5.808 5.28213e-07 144.428 0.0446472 24951.2 2.50998
3919.99 4455.02 -0.10874 19.2223 22.8869 1.20464e-06 145.257 0.0409275 27046.9 2.62541
3928.08 4454.31 -0.113403 45.8596 55.2656 3.32856e-06 146.75 0.0313188 26123.5 2.52165
3927.98 4448.21 -0.110824 22.9175 27.3493 1.51741e-06 147.214 0.0333838 29614.3 2.51828
3925.8 4444.54 -0.107296 21.4171 26.1023 1.33157e-06 145.67 0.0324017 26576.1 2.45992
3934.49 4446.33 -0.109514 39.1658 2.52522 6.37386e-07 144.162 0.0338291 24406.3 2.45559
3929.55 4443.27 -0.114477 240.031 15.6469 1.63548e-06 146.156 0.0539092 26496.9 2.40671
3929.89 4442.31 -0.104448 63.4996 3.91823 5.09499e-07 145.867 0.0511683 25928.9 2.48787
3921.24 4434.6 -0.110917 69.6295 3.99093 4.51876e-07 145.62 0.0688652 27673.4 2.59702
3917.53 4426.63 -0.107327 88.3328 4.49507 4.84064e-07 146.116 0.0698959 21951.3 2.49909
3916.73 4429.85 -0.112493 61.539 3.27214 2.70292e-07 147.013 0.076713 21906.9 2.5537
3898.1 4417.8 -0.124565 42.8971 1.98384 2.18269e-07 146.467 0.115262 20952 2.47197
3917.1 4419.04 -0.13361 37.7848 1.57031 2.39445e-07 147.888 0.103768 20454.8 2.45782
3926.73 4411.52 -0.138927 78.4814 2.92362 4.77682e-07 143.981 0.103835 18918.7 2.58637
3926.41 4402.12 -0.134309 74.8431 2.21408 8.50044e-07 143.71 0.111776 16742.6 2.62412
3960.5 4393.04 -0.151462 52.5262 1.2358 4.14597e-07 139.966 0.0902972 14709.3 2.58328
3974.49 4390.94 -0.149272 22.0183 0.737301 6.81254e-08 142.975 0.0854253 19952.1 2.49886
3977.56 4382.93 -0.146119 58.0693 1.01001 5.67222e-07 138.051 0.091151 18294.5 2.5752
3981.64 4376.86 -0.155026 33.9122 0.532686 2.43973e-07 135.91 0.080505 21593.3 2.6141
3992.12 4373.58 -0.148859 50.3039 0.616209 4.93708e-07 132.949 0.103396 21056.9 2.52918
3993.98 4369.89 -0.133778 69.9942 0.679624 1.02658e-06 128.427 0.10538 19241.2 2.55409
4006.03 4365.69 -0.148786 50.6743 1.60745 8.47384e-08 125.072 0.0897964 22996.9 2.43781
4008.25 4353.14 -0.143938 46.4307 1.2829 5.52323e-08 113.961 0.0948346 23777.4 2.52754
4017.15 4351.02 -0.139651 44.7545 1.21983 4.28551e-08 108.609 0.0937904 18770.6 2.51767
4022.16 4348.68 -0.140884 67.1871 1.75223 4.85635e-08 106.288 0.0922572 22777.8 2.43718
4020.42 4354.35 -0.126308 53.9119 1.47159 1.27687e-07 102.389 0.101537 19069.3 2.45265
4021.27 4346.6 -0.125055 58.8754 1.20022 3.67771e-07 99.3872 0.0956083 20746.3 2.44609
4012.48 4349.05 -0.116615 57.5177 1.22386 4.13093e-07 99.6644 0.108245 19041.3 2.43705
4003.2 4350.12 -0.10178 89.9293 1.94502 7.84735e-07 96.2484 0.1181 15165.7 2.36758
3980.6 4350.67 -0.0882817 112.479 2.56205 1.57756e-06 94.1239 0.125222 12882.2 2.45751
3972.8 4356.8 -0.0844958 88.9312 2.07491 1.14264e-06 93.4166 0.125527 11758.9 2.41658
3935.9 4381.55 -0.0648993 108.498 2.19836 1.6491e-06 88.4932 0.117495 10831.7 2.31144
3910.96 4384.72 -0.0622226 68.7707 1.3121 1.00009e-06 80.9676 0.102544 14804.4 2.18408
3901.03 4384.82 -0.0595493 139.762 2.16127 1.95015e-06 75.8513 0.126786 13732.9 2.2014
3892.22 4398.65 -0.0532253 111.685 2.14331 2.18051e-06 73.6244 0.118488 18140 1.96455
3885.32 4411.94 -0.0467643 44.1918 0.886257 9.36547e-07 66.2093 0.115968 18232.9 2.1526
3885.1 4412.38 -0.0457379 42.5745 0.814904 7.67907e-07 62.1224 0.121484 24446.3 2.19456
3883.63 4430.15 -0.0453188 33.8717 0.823491 4.8232e-07 60.0039 0.118224 19727.3 2.49552
3875.9 4439.68 -0.0425502 18.81 0.488259 2.37934e-07 54.3656 0.110922 24932.2 2.4715
3877.85 4449.86 -0.0409466 40.0728 1.17796 4.32548e-07 49.6631 0.113164 23105.5 2.60574
3875.55 4450.91 -0.0365004 21.6986 0.519771 2.33683e-07 42.9773 0.113403 28635.6 2.54433
3873.29 4451.62 -0.0420648 34.6739 0.870387 3.54327e-07 36.6135 0.108294 28048.3 2.522
3869.99 4451.4 -0.0516598 20.4476 1.23073 1.71819e-08 29.9438 0.0908363 25962.5 2.48504
3861.53 4445.62 -0.0623904 64.3264 3.86112 7.70641e-10 29.5449 0.0854639 29370 2.28513
3863.02 4447.8 -0.0587463 19.1934 1.18706 3.09569e-10 30.8757 0.0928009 31077 2.45108
3866.55 4461.81 -0.0502855 0.197077 0.0723183 2.5415e-09 32.0383 0.0867266 27710.6 2.57665
3864.86 4458.83 -0.0507429 0.275063 0.0792868 2.21451e-09 27.4457 0.0900709 35024.3 2.62882
3866.79 4463.78 -0.0502594 0.355378 0.066307 4.10699e-10 23.6001 0.0815116 31914.7 2.51544
3864.09 4459.35 -0.0506752 0.466056 0.0599661 4.37266e-08 16.0337 0.092274 32738.2 2.29119
3865.54 4465.43 -0.0453955 0.636576 0.0491304 2.70531e-08 15.3521 0.0845278 30193.5 2.16116
