meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2123.41 2599.63 0.137983 0.215552 3.66732 1.22326e-07 -96.2661 6.70728 3475.77 1.97248
2079.66 2857.58 0.136715 0.0185519 0.000926084 1.13018e-07 -128.178 6.46639 6960.91 1.92951
2149.14 3158.57 0.138613 0.0543569 0.783964 1.45683e-09 -132.566 5.61305 12084.1 1.95061
2181.43 3346.98 0.137898 3.93629 103.092 6.75099e-09 -118.895 4.7909 18363.6 1.91566
2254.17 3486.7 0.138038 4.00154 143.342 2.31522e-07 -122.739 4.44117 25941.7 1.92674
2303.99 3668.38 0.139367 3.03652 149.732 1.49335e-07 -130.805 3.75555 27000.6 1.90279
2213.8 3707.24 0.134667 2.4832 92.3969 6.07862e-08 -94.852 4.19514 29849.3 1.88591
2355.34 3831.57 0.149778 12.2215 81.5505 6.14306e-08 -110.567 3.93337 29218.4 1.9058
2455.03 3896.07 0.151679 7.34888 42.7273 2.54014e-08 -79.4279 3.92066 31230.8 1.91484
2513.31 3959.85 0.159917 0.26639 27.429 2.8399e-08 -86.1891 3.89092 31487.7 1.94423
2664.58 4017.35 0.165901 0.0230821 58.6267 1.27395e-08 -91.7047 3.68874 32070.8 1.91168
2787.18 4079.88 0.167406 0.0636937 40.154 7.49262e-09 -101.01 3.5464 31661.8 1.87505
2785.18 4061.84 0.167675 0.0316857 24.8353 2.49632e-09 -72.2834 3.68456 29970 1.85589
2704.01 4024.71 0.165579 9.17336e-05 11.5626 1.60618e-09 -37.2594 2.91449 31278.5 1.87954
2743.01 4028.79 0.164162 0.00482402 24.7414 1.98683e-09 -40.2623 2.43062 33887.2 1.84369
2764.65 4025.63 0.16962 0.0135044 25.4167 1.19251e-08 -47.7096 2.019 33547.6 1.81365
2810.98 4029.68 0.169582 1.55623 0.837491 6.37995e-09 -51.0466 1.96143 28888.2 1.86785
2834.71 4036.28 0.172221 2.05846 1.10021 1.23157e-07 -50.6133 1.94478 35309.4 1.8514
2965.02 4077.18 0.180806 2.69684 1.1077 7.15392e-08 -70.3307 2.58808 30257.2 1.81439
2910.61 4047.85 0.182599 1.77956 0.768912 3.94175e-08 -70.8893 2.08684 32481 1.85103
2919.91 4040.24 0.201641 3.47843 0.93268 6.08236e-08 -72.6464 1.94913 26610.6 1.86479
3133.47 4135.3 0.200964 8.13056 1.82551 8.13646e-08 -125.039 3.95079 26142.7 1.88511
3228.18 4177.04 0.204029 16.2927 3.16038 6.06637e-08 -174.957 3.56218 28740.3 1.89298
3123.45 4121.75 0.210428 5.72982 0.904843 1.97356e-08 -123.45 3.80525 32338.7 1.88577
3066.3 4088.3 0.225246 7.82265 0.971875 3.43581e-09 -103.239 3.30015 31175 1.91325
2992.18 4047.25 0.2317 4.05608 0.406381 1.05563e-09 -95.438 2.67581 28957.9 1.90307
2929.8 4018.04 0.247701 13.9184 1.08725 1.78746e-09 -99.5755 2.69614 25019.6 1.89243
2935.36 4007.9 0.242016 11.6633 0.600892 2.10301e-08 -99.5833 2.60375 25206.2 1.92934
2930.97 4009.65 0.249874 17.442 0.825589 1.18146e-07 -112.456 2.98006 23226.7 1.93924
2621.23 3832.1 0.275267 6.85999 0.12378 6.0148e-07 -95.4271 1.32127 20418.7 1.91728
2596.47 3776.57 0.281471 1.51382 0.22295 1.9773e-07 -96.3599 0.883462 27409.6 1.89159
2565.59 3744.89 0.291321 3.1677 0.906212 7.6987e-07 -102.012 0.69544 27907.1 1.92752
2498.11 3698.87 0.28318 1.25203 1.13371 5.65046e-07 -114.606 0.542453 23217.7 1.8871
2432.24 3681.3 0.267282 0.361718 0.810348 2.22722e-07 -124.253 0.610527 16876.6 1.86526
2423.49 3643.38 0.255998 0.0649108 0.307286 2.36032e-08 -133.73 0.38528 18037.9 1.88141
2431.32 3618.18 0.251358 0.230846 1.25858 7.6746e-08 -132.115 0.234644 24569.8 1.8743
2365.64 3625.12 0.252105 0.0437545 1.33288 4.36882e-09 -134.849 0.465828 26758.7 1.83249
2426.99 3607.8 0.248301 0.175046 1.6887 6.57286e-11 -140.553 0.33884 26279.5 1.81353
2456.32 3607.88 0.229447 0.514785 3.601 8.91264e-10 -139.619 0.391158 22371.9 1.84817
2463.93 3601.65 0.229766 0.287957 2.33807 1.3886e-07 -145.515 0.382719 28923.8 1.84465
2432.39 3606.51 0.236026 0.103423 1.58153 5.13477e-08 -138.683 0.49971 24839 1.8419
2422.05 3597.14 0.231364 0.625876 1.88144 8.13309e-08 -131.475 0.446429 25449.4 1.83764
2474.98 3563.63 0.228242 0.0745482 0.777775 2.94788e-10 -121.695 0.201008 24753.7 1.84026
2478.28 3557.99 0.228076 0.246656 2.95329 1.57902e-09 -120.306 0.165291 31176.7 1.78998
2473.83 3545 0.228474 0.0982868 1.44682 3.39734e-09 -117.61 0.140593 30482.3 1.80016
2474.93 3532.99 0.233544 0.304774 2.00795 1.5309e-07 -113.459 0.100382 29048 1.77258
2476.19 3535.97 0.223716 0.391256 2.51846 1.77438e-07 -105.956 0.201943 23803 1.77896
2475.55 3527.64 0.224265 0.346253 1.65044 8.20769e-08 -103.291 0.170385 27126.2 1.77974
