meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2340.73 2409.06 0.167133 0.149396 1.21492 1.14224e-08 7.93698 7.98699 13386 2.3745
2281.29 2420.5 0.162505 0.0195045 0.541451 9.22364e-09 46.4181 10.2501 14336.6 2.77763
2177.18 2613.93 0.163962 0.0148235 0.164286 4.72054e-08 -9.59571 7.91457 11835.3 3.06961
2167.71 2696.83 0.164062 8.68817 1.20672 4.46845e-12 -80.7565 7.68396 17131.4 3.1315
2205.1 2933.72 0.165347 15.2268 0.107108 7.97687e-09 -61.286 5.21438 16936 2.88432
2289.99 3213.98 0.171116 6.71277 65.0463 7.92536e-08 -48.3787 4.39476 16113.9 1.95847
2352.5 3324.22 0.177806 35.7984 1.23384 1.61363e-07 -42.5641 3.663 22650.9 2.54255
2426.84 3461.63 0.187246 31.8587 2.63444 1.31901e-07 -42.223 3.14349 23601.6 3.0023
2427.85 3455.28 0.188462 36.0157 2.7392 1.02799e-07 -46.5852 3.05305 30276.4 2.84435
2483.01 3522.29 0.195676 30.8764 2.94285 1.6669e-07 -44.3324 2.78935 31977.3 2.22222
2527.7 3529.83 0.192687 30.6566 2.79159 1.2492e-07 -41.6223 2.53156 30666.5 2.33835
2565.24 3409.64 0.186751 14.2252 0.599834 2.84392e-08 -79.0267 2.7466 27039.7 3.06435
2558.11 3396.3 0.18236 0.179962 16.9835 4.63537e-09 -57.6196 2.68381 25334.1 3.25653
2658.01 3468.47 0.182816 0.00747116 12.0402 1.87782e-09 -66.7203 2.96614 29461 2.81722
2719.57 3462.92 0.180865 2.2148 7.3973e-05 1.74976e-08 -77.9276 2.99661 29202.9 2.48212
2670.18 3462.72 0.179865 3.49052 0.00487621 7.65715e-11 -68.968 2.24473 31455.2 2.21422
2728.32 3596.97 0.183782 2.76864 0.458925 2.63899e-09 -67.8624 2.16391 31805.8 2.85713
2698.91 3669.67 0.184567 1.09498 0.332489 3.20274e-10 -53.4762 1.56566 32982.4 2.8252
2740.92 3716.69 0.190206 2.86094 1.6329 3.71143e-08 -60.8402 1.62454 33894.8 2.6743
2719.11 3763.68 0.191728 2.79402 2.15558 9.96395e-09 -65.5709 1.28049 34511.4 2.10751
2746.07 3880.53 0.210494 2.4761 3.94956 5.5729e-12 -59.439 1.05526 29418 2.68111
2742.99 3902.66 0.220655 0.704471 1.17445 1.13743e-10 -60.5926 0.915653 31234.2 2.71
2751.39 3910.83 0.236329 3.06182 3.76757 6.44325e-08 -66.6677 0.901331 26252.4 2.1722
2746.31 3896.52 0.241324 3.63567 5.03854 2.09349e-08 -69.7157 0.835163 29939 2.2751
2724.68 3878.72 0.243528 1.65481 2.65694 1.11199e-08 -72.1343 0.711016 35026.1 2.59626
2785.52 3872.62 0.248006 1.94965 2.30337 3.16966e-09 -74.2527 1.09365 32102.8 2.69305
2755.11 3843.08 0.256377 6.45801 11.0152 9.6715e-10 -77.4444 0.907121 30679.9 2.47516
2754.18 3827.38 0.258662 2.41191 4.35961 1.10008e-09 -83.5948 0.893388 31553.6 2.25672
2750.6 3724.15 0.273008 1.04447 2.85001 6.57812e-10 -90.5505 1.05712 22255.3 2.62428
2706.13 3713.94 0.276867 1.30763 4.22145 5.22168e-08 -91.4341 0.698144 25129.7 2.82452
2710.38 3620.48 0.27653 1.50975 9.157 1.39137e-08 -98.8476 0.911224 24945.7 2.66688
2649.24 3514.98 0.283543 0.648759 8.18563 2.81121e-08 -106.005 0.671043 23004.8 2.58597
2637.67 3216.28 0.280626 1.08154 26.5838 3.81282e-08 -129.271 1.37401 21015.5 2.30323
2366.11 2295.52 0.266604 0.00422867 67.8893 1.80776e-07 -176.812 1.30073 13074.5 2.27971
2220.79 1828.9 0.263328 0.170359 86.5172 2.01731e-07 161.309 1.01235 17834 2.63896
2023.02 1264.32 0.271271 1.47246 141.438 2.68976e-07 155.202 0.573299 18503.4 3.0169
1967.36 1094.9 0.267809 27.4331 124.226 3.41349e-08 150.82 0.480124 22766.8 2.89873
1919.38 1056.46 0.277325 47.0326 203.519 2.53878e-07 143.435 0.447502 19501.9 2.07184
1918.85 1070.64 0.275436 34.3433 146.693 1.35979e-07 142.673 0.540811 24611.3 2.62176
1932.74 1155.82 0.272228 63.9171 266.069 1.51731e-07 137.895 0.584219 24295.5 2.92446
2000.33 1399.39 0.273885 76.7411 301.321 1.24025e-07 136.917 0.708037 22504.8 3.05754
2124.02 1862.65 0.279011 36.5936 125.514 4.79441e-08 136.703 0.931095 20027.9 2.00604
2338.46 2636.88 0.281288 32.356 79.1987 7.96391e-08 152.356 1.65785 19008.7 2.58136
2389.53 2847.14 0.288125 9.53922 18.7926 6.05148e-08 157.181 1.81811 25130.3 2.89963
2332.24 2754.26 0.286886 16.9332 34.1499 9.66664e-08 -175.52 1.79997 24421.3 3.08391
2323.58 2818.66 0.281067 42.0143 80.1585 9.33288e-08 -149.844 1.40043 22998.7 2.81837
2393.65 3075.13 0.268911 16.1645 25.6155 2.0197e-08 -125.489 0.88861 21399.6 2.26375
2434.58 3149.11 0.256272 11.7164 18.0385 1.47796e-08 -111.073 0.754191 20453.9 2.39871
2488.34 3167.4 0.246485 25.6474 42.478 2.31238e-08 -109.644 1.03779 22875.6 2.79569
2553.75 3321.89 0.241831 5.24459 7.88232 1.58803e-09 -99.75 0.827312 23827.1 3.03421
2555.34 3160.27 0.236264 5.20335 9.93444 1.3799e-10 -115.844 1.39655 21742.7 2.94401
2629.77 3228.21 0.22088 0.103993 2.25074 1.07332e-07 -119.178 1.63126 25398.7 2.26792
2622.52 3141.49 0.221489 0.0488478 3.39241 1.93943e-07 -124.908 1.90456 24799.1 2.27869
2515.89 3090.59 0.234732 0.110798 4.49125 2.9526e-07 -131.428 1.27094 28176.9 2.999
2436.59 2977.74 0.241927 0.461591 5.6553 2.25747e-07 -140.818 1.12751 30078.9 2.99386
2494.87 3165.34 0.219938 0.173201 1.8344 1.93139e-07 -135.503 0.772415 27013.6 2.8201
2454.74 3140.81 0.238822 0.354871 1.73384 2.44886e-07 -137.43 0.557051 26714.2 2.89411
2430.77 3091.98 0.243767 0.232573 1.38981 1.23475e-07 -137.656 0.608043 27487 2.00218
2416.8 3116.68 0.27027 0.424327 2.04932 1.28264e-07 -133.514 0.468069 22700.8 2.72317
2422.91 3145.28 0.268072 0.144053 0.738938 2.84394e-08 -131.853 0.415028 25590.2 2.82715
2430.08 3173.72 0.276398 0.104851 0.417598 9.77149e-08 -131.013 0.381139 27207.9 2.3461
2451.15 3169.47 0.274893 0.102889 0.565313 1.80067e-07 -126.19 0.448627 19610.6 2.20085
2510.45 3210.34 0.275696 0.00766572 0.796624 5.71217e-07 -122.224 0.508743 22728.3 2.87592
2448.61 3137.97 0.300389 0.0649255 1.02548 5.34639e-07 -122.263 0.41939 26136 2.92277
2349.58 2900.8 0.323183 0.1967 2.2065 9.39015e-08 -126.615 0.808524 23020.4 2.49817
2219.06 2560.15 0.352188 0.462877 4.74341 1.14218e-07 -144.43 1.4394 19775.4 2.09878
2282.35 2558.33 0.340159 0.222231 4.64534 7.05845e-08 -146.121 1.80753 19656.4 2.55882
2159.72 2255.71 0.374637 2.95095 25.9662 2.87769e-07 -179.042 2.20488 18743.9 2.86941
1796.87 1681.64 0.437193 9.22883 44.6705 3.77363e-07 145.672 1.17087 21326.2 3.01812
1647.34 1453.11 0.455129 6.24308 26.7117 2.2999e-07 131.155 0.81645 23844 2.44273
1700.74 1544.52 0.446781 4.69916 19.9043 2.03822e-07 126.971 0.945964 30184.8 2.45718
1603.8 1477.47 0.466367 8.51911 47.4751 2.07603e-06 125.883 0.804307 23240.8 2.9584
1552.7 1420.62 0.48705 16.5622 88.8806 3.57581e-06 119.815 0.682699 30389.5 2.9683
1422.41 1282.44 0.511795 5.28153 24.9585 9.37285e-07 114.67 0.468563 30278.2 2.32115
1385.09 1257.3 0.517387 34.8015 84.6992 1.42696e-06 111.807 0.410393 30134.1 2.28419
1757.23 1862.03 0.452218 26.9095 63.5315 1.35667e-06 130.273 1.12018 19636.9 3.05744
2077.47 2428.2 0.408556 3.40993 6.59546 2.4034e-07 162.614 1.38419 11242.6 3.04862
2221.93 2672.86 0.379968 1.73793 2.89805 9.04543e-08 176.567 1.41713 20607 2.60397
2339.93 2829.41 0.368684 0.613929 0.856207 3.31762e-08 -175.612 1.54622 25477.8 2.16035
2659.84 3339.14 0.342301 0.222612 0.888866 7.49103e-09 -153.5 0.630689 13670.2 2.96749
2683.53 3417.98 0.350086 0.402582 2.21212 1.03919e-07 -151.331 0.514614 20623.7 2.92076
2916.27 3674.5 0.346532 2.26444 5.41536 6.74409e-08 -138.022 0.431604 18068.4 2.9704
2922.69 3699.94 0.349361 4.14011 9.80979 1.39346e-07 -125.864 0.422673 30115.3 2.91736
