meanPX222 meanPY  meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2377.85 2385.64 0.851585 0.573328 2.8876 5.73072e-09 -107.24 4.964 8669.9 2.45043
2344.62 2321.42 0.851147 2.60536 5.94956 9.17965e-09 -113.925 4.23961 11917.2 2.63597
2383.12 2271.42 0.852433 0.939873 1.76886 6.44268e-09 -75.3902 4.95245 12851.6 2.61028
2531.36 2242.25 0.852976 9.93356 9.50846 2.76913e-08 -9.08586 4.78663 15462.5 2.42971
2688.92 2198.49 0.859148 14.0422 8.65757 5.07967e-08 22.7527 3.23564 17935.8 2.46922
2767.13 2099.12 0.861252 32.7067 11.0194 1.4242e-08 11.1427 2.80619 19382.1 2.35923
2848.54 2044.55 0.857842 30.2308 9.65619 1.91949e-08 -1.01315 2.55218 24511.1 2.59849
2878.41 2041.27 0.867347 18.4214 4.92214 3.03886e-08 -20.7055 2.00792 24014.9 2.59061
2915.62 2017.28 0.863854 50.2515 19.9337 2.68202e-07 -18.7127 1.99574 30724.8 2.77311
2931.51 2048.78 0.862135 14.7595 7.57946 8.12657e-08 -3.39326 1.80795 31043.4 2.64181
2994.83 2087.85 0.860922 0.998349 0.0705165 2.81647e-07 -12.0776 1.26769 27820.5 2.49147
2946.74 2091.68 0.878389 1.10204 0.0345631 1.31457e-07 -17.5018 0.905776 25792.1 2.60433
2987.94 2073.52 0.870998 1.73515 0.186812 1.94652e-07 -23.705 0.769273 21299.5 2.71622
3061.99 2123.31 0.873494 0.251004 5.60278e-05 4.19848e-08 -26.2343 0.519913 24770.5 3.1336
3079.4 2147.7 0.884439 1.07266 0.0465259 1.12202e-07 -37.174 0.34825 30876 2.7702
3118.2 2147.23 0.889282 0.456167 0.0828904 4.75937e-08 -46.3885 0.286162 27094.3 2.88627
3175.2 2118.37 0.888692 0.308067 0.137638 1.89958e-08 -57.2291 0.196828 33050.6 2.81727
3183.59 2125.42 0.886209 0.641151 0.0461343 2.34151e-07 -56.9712 0.0961506 33421.1 2.68457
