meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2176.48 2551.4 0.137619 0.530926 3.67203 1.8206e-08 -57.6653 8.10499 5390.17 3.50005
2065.17 2809.52 0.135991 0.00132663 0.0288215 1.14422e-08 -54.8084 8.00292 7391.97 3.45679
2060.09 3115.55 0.135547 0.00474001 0.0851984 1.49773e-08 -50.7496 6.49481 8811.6 3.50612
2107.32 3255.01 0.140745 3.53553 0.298752 1.45324e-08 -33.9172 4.33816 18152.9 3.06079
2163.23 3419.71 0.143236 10.4649 1.09239 5.68915e-09 -22.9175 3.37741 23321.5 2.93948
2225.18 3544.64 0.148433 17.0108 2.95963 5.2159e-09 -16.067 2.57882 27256.8 2.15676
2277.62 3613.5 0.153775 23.8652 4.83395 8.15762e-08 -14.0054 2.05409 30313.6 2.5413
2327.04 3691.56 0.15679 2.63457 55.2489 6.52648e-10 -13.0167 1.4735 32991 2.88047
2372.99 3751.01 0.165607 0.958209 26.764 3.45978e-09 -11.6614 1.12417 32098.1 2.87435
2403.58 3770.13 0.168446 1.10739 40.5596 1.04932e-08 -10.3702 0.978358 35384.2 2.11789
2459.18 3807.74 0.176145 0.822312 45.956 1.51426e-09 -11.52 0.740816 33278.2 2.53901
2485.49 3833.64 0.178346 0.430416 34.1183 6.70594e-09 -13.3014 0.639084 34508.1 2.82207
2496.11 3853.61 0.178192 9.34982 3.61517 2.76673e-08 -11.0307 0.457108 32176.5 2.60982
2494.37 3854.17 0.172091 12.571 4.94135 6.45077e-09 -13.8048 0.42958 29703.5 2.11439
2519.06 3870.91 0.17316 6.44246 3.10646 2.03402e-08 -16.6722 0.368576 26036.7 2.77005
2533 3885.01 0.173928 6.50982 3.80309 5.32189e-08 -32.8418 0.279865 36306.8 2.89432
2553.79 3885.6 0.178506 4.44453 2.85066 7.10897e-08 -40.0736 0.274784 34987 2.68517
2549.45 3877.35 0.185419 2.79743 1.82294 4.676e-08 -35.3906 0.232182 32210.2 2.20816
2561.28 3886.56 0.188088 0.0731858 0.0758066 8.28497e-08 -45.1367 0.226763 34763.9 2.91729
2573.18 3882.94 0.191901 0.130341 0.104782 9.60881e-08 -53.6663 0.221208 34147 2.90238
2576.19 3874.07 0.202978 0.218354 0.140224 1.33109e-07 -56.2189 0.199037 33413.9 2.28633
2585.72 3870.1 0.214063 46.8978 9.89203 6.65785e-07 -56.6109 0.191078 31366.6 2.26878
2608.41 3868.14 0.218181 17.7772 3.96348 3.78198e-07 -60.405 0.236633 34163.9 2.68171
